RAPPORT D'ANALYSE DES VENTES
Période:;01/01/2026; au ;16/03/2026

--- ANALYSE PAR PRODUIT ---
Produit;Catégorie;Quantité;CA Généré;Marge Totale;% Marge
Tomates;Fruits et légumes;752,43;12 565,74;11 437,09;91,0 %
Bananes vertes carton;Fruits et légumes;87,00;1 793,00;1 793,00;100,0 %
OFFRE6 : 1 BANANE VERTE+1 MANIOC;;12,00;828,00;828,00;100,0 %
TARO VRAC;Fruits et légumes;131,53;776,00;118,37;15,3 %
MANIOC VRAC;Fruits et légumes;212,95;681,45;255,54;37,5 %
Ailes de poulet 10 KG  SALMA;Conserves;24,00;645,60;45,60;7,1 %
Manioc carton;Fruits et légumes;10,00;500,00;50,00;10,0 %
Riz long 20kg Hippocampe;Boulangerie;16,00;446,40;126,40;28,3 %
viandes boeuf;Boulangerie;30,00;390,00;90,00;23,1 %
Cuisses de poulet;Conserves;14,00;362,60;26,60;7,3 %
fruit jack;Conserves;45,85;343,91;114,64;33,3 %
TARO CARTON;Fruits et légumes;4,00;280,00;280,00;100,0 %
Croupion de dinde 10kg;;8,00;280,00;24,00;8,6 %
LAIT DE COCO AROY-D 1L;Conserves;63,00;270,90;270,90;100,0 %
CHIPS CHEESE BALLS;;18,00;270,00;270,00;100,0 %
vivaneau;;17,09;239,32;68,38;28,6 %
chiken franks;Boulangerie;117,00;234,00;117,00;50,0 %
BANANE VERTE VRAC;Fruits et légumes;151,77;216,25;64,48;29,8 %
SUPER RING 25;;19,00;190,00;190,00;100,0 %
Bananes Plantin vrac;Fruits et légumes;74,41;186,02;37,20;20,0 %
1 Banane verte+ 1 ailes de 10kg;;4,00;184,00;184,00;100,0 %
CARTON LAIT DE COCO AROY-D 1L;;3,00;147,00;147,00;100,0 %
poulpes;Boulangerie;10,29;133,72;30,86;23,1 %
Pwéré;Conserves;14,00;126,00;14,00;11,1 %
NOUILLES SUPREME 90G;;83,00;124,50;124,50;100,0 %
kawa carangue;;19,95;117,69;17,95;15,3 %
Poisson mademoiselle;Conserves;15,35;115,13;38,38;33,3 %
20KG DE RIZ+AILES 10KG;;2,00;105,60;105,60;100,0 %
cubes de chevres;;7,00;104,30;104,30;100,0 %
croupion;;16,44;82,20;16,44;20,0 %
Ailes de poulet jaune;;3,00;80,70;-3,30;-4,1 %
chips;;4,00;80,00;4,00;5,0 %
Pattes de Samoussa;Boulangerie;21,00;73,50;31,50;42,9 %
chips Chicken Rings;;33,00;72,60;39,60;54,5 %
saka saka;;39,00;70,20;70,20;100,0 %
Ntchari GRANDE BOUTEILLE;Conserves;4,00;68,00;8,00;11,8 %
LAIT DE COCO GRACE 1L;;19,00;66,50;66,50;100,0 %
Sardines àl'huile  Anny;Conserves;43,00;64,50;21,50;33,3 %
gingimbre;Fruits et légumes;8,60;60,20;60,20;100,0 %
CHIPS LOTS 10;;3,00;60,00;60,00;100,0 %
PIMENT ROUGE BOUTEILLE  0.75L;Conserves;4,00;60,00;60,00;100,0 %
Sardines à l'huile en carton;Conserves;1,00;60,00;-10,00;-16,7 %
NIDO 2.5KG;;2,00;59,80;59,80;100,0 %
Poissons rouge;Boulangerie;5,40;59,38;10,80;18,2 %
LAIT DE COCO TANTIE 1L;;14,00;54,60;54,60;100,0 %
20KG DE RIZ+1 CUISSE DE 10 KG OFFRE 2;;1,00;51,80;51,80;100,0 %
STEAK HACHE 800G;;5,00;47,90;22,90;47,8 %
GATEAU;;23,00;46,00;46,00;100,0 %
Taro congélés;Fruits et légumes;6,65;45,87;12,63;27,5 %
Poulet entier;Boulangerie;9,00;45,00;18,00;40,0 %
piment bouteille;;4,00;40,00;4,00;10,0 %
Ghee petit;;4,00;36,00;8,00;22,2 %
PIMENTS;ANTILLES;4,00;28,00;28,00;100,0 %
Mangue;Fruits et légumes;4,00;27,60;27,60;100,0 %
BUTTER GHEE;;3,00;27,00;27,00;100,0 %
Poids d'angoles;Conserves;8,00;24,00;8,00;33,3 %
CHIPS ROSTIK;;10,00;22,00;22,00;100,0 %
crevettes;Boulangerie;3,00;20,70;8,70;42,0 %
ALOE VERA HUILE;;4,00;20,00;20,00;100,0 %
POP POP;;37,00;18,50;18,50;100,0 %
SAMBO;;10,00;17,00;17,00;100,0 %
RIZ LONG 5KG;;2,00;16,00;16,00;100,0 %
Tilapia;Boulangerie;3,20;15,68;2,88;18,4 %
Chips;Conserves;10,00;15,00;5,00;33,3 %
Ghee grand;;1,00;15,00;1,00;6,7 %
bissap gingembre;;3,00;15,00;15,00;100,0 %
STAR GOYAVE 1.5L;;5,00;14,50;14,50;100,0 %
Poisson Courbines;;2,50;13,75;3,75;27,3 %
HAWAI COCKTAIL 1.5L;;5,00;12,50;12,50;100,0 %
FARINE DE RIZ 400G;;4,00;11,20;11,20;100,0 %
POKKA Melon;;6,00;10,80;10,80;100,0 %
RED BULL;;5,00;10,00;10,00;100,0 %
HUILE DE CHEBE 105 ML;;2,00;10,00;10,00;100,0 %
PIMENT ROUGE 0.5L;;1,00;9,90;9,90;100,0 %
COLD CREAM;;1,00;9,00;9,00;100,0 %
COCO RAPEE 500G;;2,00;8,00;8,00;100,0 %
NIDO 400G;;1,00;7,50;7,50;100,0 %
POWDER;;2,00;7,00;7,00;100,0 %
CHAHA;;4,00;6,00;6,00;100,0 %
sweet biscuit;;4,00;6,00;2,00;33,3 %
Goyave;Fruits et légumes;0,70;5,95;1,05;17,6 %
NECTAR MULTIFRUIT;;2,00;5,80;5,80;100,0 %
CURCUMA MOULU;;3,00;5,70;5,70;100,0 %
Patates douces vrac;Fruits et légumes;2,80;5,60;0,00;0,0 %
piment moyen;;1,00;5,50;0,50;9,1 %
GINGER DRINK 0.5L;;1,00;5,00;5,00;100,0 %
huile d'amla;;1,00;5,00;1,00;20,0 %
HAWAI ANANAS 1.5;;2,00;5,00;5,00;100,0 %
Huile de tournesol;;2,00;5,00;1,00;20,0 %
AIL 2.5 KG;;1,00;5,00;5,00;100,0 %
TAMARIN SUCRE;;1,00;5,00;5,00;100,0 %
Ail;Fruits et légumes;1,00;5,00;0,00;0,0 %
Tomates pélées ( Giaguaro );;3,00;4,50;1,50;33,3 %
Tomates concentré ( Gino ) grand;;1,00;4,50;1,50;33,3 %
PLANTAIN CHIPS SAMAI;;3,00;4,50;4,50;100,0 %
COCA COLA;;3,00;4,50;4,50;100,0 %
CASSAVA CHIPS;;3,00;4,50;4,50;100,0 %
CARESSE ANTILLAISE FRUIT PASSION 1L;;1,00;4,50;4,50;100,0 %
Monster;Conserves;2,00;4,00;2,00;50,0 %
hawai bouteille;Conserves;2,00;4,00;2,00;50,0 %
gimgimbre (25 sachet les infusions d'Afrique);;1,00;4,00;1,00;25,0 %
ananas;;1,00;4,00;1,00;25,0 %
Nesquik;;1,00;3,90;1,90;48,7 %
Haricot ( Legumor );;1,00;3,90;0,90;23,1 %
moutarde de dijon;;2,00;3,80;1,80;47,4 %
REDBULL GINGEMBRE;;2,00;3,80;3,80;100,0 %
ROYAL SODA;;2,00;3,60;3,60;100,0 %
DIEGO EXOTIQUE;;1,00;3,60;3,60;100,0 %
ROYAL BOISSON PASSION 1L;;1,00;3,50;3,50;100,0 %
POIVRE BLANC MOULU;;1,00;3,50;3,50;100,0 %
bonbon;;31,00;3,10;-12,40;-400,0 %
Tomates concentré de tomates 3;;1,00;3,00;1,00;33,3 %
AMIGA 3 COUTEAUX;;1,00;3,00;3,00;100,0 %
coco grillé caramelisé;;1,00;3,00;3,00;100,0 %
sel baleine 250g;;3,00;3,00;1,50;50,0 %
LEVURE CHIMIQUE;;2,00;3,00;3,00;100,0 %
PRINGLES ORIGINAL;;2,00;3,00;3,00;100,0 %
OASIS PECHE;;2,00;3,00;3,00;100,0 %
POP CORN 500G;;2,00;3,00;3,00;100,0 %
STAR GOYAVE ROSE;;1,00;2,90;2,90;100,0 %
STAR LYCHEE;;1,00;2,90;2,90;100,0 %
STAR MANGO;;1,00;2,90;2,90;100,0 %
Avocat;;0,50;2,75;0,75;27,3 %
Coconut milk 500ml;Conserves;1,00;2,50;0,50;20,0 %
BADIANE ENTIERE;;1,00;2,50;2,50;100,0 %
AIL SEMOULE;;1,00;2,50;2,50;100,0 %
poivre noir moulu;;1,00;2,50;0,50;20,0 %
SUPER RING PETIT;;4,00;2,00;2,00;100,0 %
tomates concentré ( gino ) petit;;1,00;2,00;1,00;50,0 %
paprika doux;;1,00;2,00;1,00;50,0 %
LAIT DE COCO 250 ML;;1,00;1,90;1,90;100,0 %
mayonnaise;;1,00;1,90;0,90;47,4 %
POKKA PASSION;;1,00;1,80;1,80;100,0 %
bonbon;;6,00;1,80;1,20;66,7 %
sesame blanc;;1,00;1,50;0,50;33,3 %
ail poudre;;1,00;1,50;0,50;33,3 %
hawai;Conserves;1,00;1,50;0,50;33,3 %
FUZE TEA;;1,00;1,50;1,50;100,0 %
L'ORDINAIRE MOJITO;;1,00;1,50;1,50;100,0 %
PRINGLES PAPRIKA 40G;;1,00;1,50;1,50;100,0 %
COCA COLA 330ML;;1,00;1,50;1,50;100,0 %
Coconut mulk 250ml;Conserves;1,00;1,50;0,50;33,3 %
CURRY;;1,00;1,50;1,50;100,0 %
piment fort moulu (epices);;1,00;1,50;0,50;33,3 %
PRINGLES SOUR CREAM;;1,00;1,50;1,50;100,0 %
PRINGLES;;1,00;1,50;1,50;100,0 %

--- ANALYSE PAR CATEGORIE ---
Catégorie;Qté Totale;CA Global;Marge Globale
Fruits et légumes;1 447,84;17 148,68;14 137,17
;595,48;3 911,41;2 947,37
Conserves;253,20;2 169,13;608,11
Boulangerie;214,88;1 418,38;436,13
ANTILLES;4,00;28,00;28,00
