RAPPORT D'ANALYSE DES VENTES
Période:;14/03/2026; au ;14/03/2026
Généré le:;14/03/2026 17:06

--- ANALYSE PAR PRODUIT ---
Produit;Catégorie;Quantité;CA Généré;Prix Moyen;Marge Totale;% Marge
Cuisses de poulet;Conserves;6,00;150,22;25,04;6,22;4,1 %
Manioc carton;Fruits et légumes;2,00;100,00;50,00;10,00;10,0 %
Riz long 20kg Hippocampe;Boulangerie;2,00;55,80;27,90;15,80;28,3 %
kawa carangue;;9,00;53,10;5,90;8,10;15,3 %
1 Banane verte+ 1 ailes de 10kg;;1,00;46,00;46,00;46,00;100,0 %
Bananes vertes carton;Fruits et légumes;2,00;46,00;23,00;46,00;100,0 %
Ailes de poulet 10 KG  SALMA;Conserves;1,00;26,90;26,90;1,90;7,1 %
viandes boeuf;Boulangerie;2,00;26,00;13,00;6,00;23,1 %
Sparletta carton;;1,00;24,90;24,90;-20,10;-80,7 %
Ntchari GRANDE BOUTEILLE;Conserves;1,00;20,00;20,00;5,00;25,0 %
chips;;1,00;20,00;20,00;1,00;5,0 %
Pomme Golden;Fruits;8,00;14,92;1,87;14,92;100,0 %
Bananes Plantin vrac;Fruits et légumes;4,00;10,00;2,50;2,00;20,0 %
saka saka;;6,00;9,80;1,63;9,80;100,0 %
LAIT DE COCO GRACE 1L;;2,00;7,00;3,50;7,00;100,0 %
sparletta pac de 6;Boulangerie;1,00;6,50;6,50;6,50;100,0 %
MANIOC VRAC;Fruits et légumes;2,00;6,40;3,20;2,40;37,5 %
TARO VRAC;Fruits et légumes;1,00;5,90;5,90;0,90;15,3 %
NOUILLES SUPREME 90G;;3,00;4,50;1,50;4,50;100,0 %
Tomates;Fruits et légumes;1,00;2,50;2,50;1,00;40,0 %
Sparletta rouge;Boulangerie;2,00;2,40;1,20;0,40;16,7 %
CHIPS ROSTIK;;1,00;2,20;2,20;2,20;100,0 %
chips Chicken Rings;;1,00;2,20;2,20;1,20;54,5 %
chiken franks;Boulangerie;1,00;2,00;2,00;1,00;50,0 %
bonbon;;6,00;1,80;0,30;1,20;66,7 %
POP POP;;3,00;1,50;0,50;1,50;100,0 %
CHAHA;;1,00;1,50;1,50;1,50;100,0 %
Sardines àl'huile  Anny;Conserves;1,00;1,50;1,50;0,50;33,3 %
Sparletta vert;Boissons;1,00;1,20;1,20;0,20;16,7 %
MAIS;;1,00;1,20;1,20;1,20;100,0 %
bonbon;;1,00;0,10;0,10;-0,40;-400,0 %

--- ANALYSE PAR CATEGORIE ---
Catégorie;Nb Articles;Qté Totale;CA Global;Marge Globale;% Marge
Conserves;9;9,00;198,62;13,62;6,9 %
;24;37,00;175,80;64,70;36,8 %
Fruits et légumes;8;12,00;170,80;62,30;36,5 %
Boulangerie;7;8,00;92,70;29,70;32,0 %
Fruits;2;8,00;14,92;14,92;100,0 %
Boissons;1;1,00;1,20;0,20;16,7 %

--- EVOLUTION TEMPORELLE ---
Date;Nb Tickets;CA Journée;Panier Moyen;Marge Journée
01/01/0001;9;654,04;72,67;185,44
